hip,ra,dec,mag,spect,ci,con,var_min,var_max
1761,0.372017,-44.64905,8.88,F8V,0.605,Phe,,
1762,0.372119,53.600878,8.05,F3II,0.431,Cas,,
1763,0.37214,33.068359,8.76,M0,1.667,And,,
1764,0.372196,-67.626554,7.84,K5III,1.452,Tuc,,
1765,0.37222,-23.840488,7.57,K2III,1.322,Cet,,
1766,0.372572,-50.992487,6.68,K2III,1.102,Phe,,
1767,0.372904,7.883615,9.89,G0,0.576,Psc,,
1768,0.373221,-27.032574,8.3,K1V,0.888,Scl,,
1769,0.373227,35.536349,7.02,K5,1.61,And,,
1770,0.373312,5.224795,9.3,G5,0.744,Psc,,
1771,0.373667,6.667551,11.21,M1Vvar,1.47,Psc,11.296,11.136
1772,0.373745,13.482488,6.25,K3III,1.225,Psc,,
1773,0.374132,66.181476,8.59,F5,0.535,Cas,,
1774,0.374305,47.785739,11.19,M0,1.28,Cas,11.258,11.118
1775,0.375102,-59.022425,9.4,G2V,0.666,Tuc,,
1776,0.375439,-63.677577,9.1,F5V,0.471,Tuc,,
1777,0.376146,-61.034853,7.3,A0V,0.035,Tuc,,
1778,0.376316,-6.643133,9.82,F8,0.53,Cet,,
1779,0.376329,-73.032355,8.59,G8V,0.769,Tuc,,
1780,0.37715,11.576974,9.09,G0,0.696,Psc,,
1781,0.377586,-52.156617,9.69,G3,0.624,Phe,9.764,9.644
1782,0.377874,-42.213905,9.99,F3/F5V,0.532,Phe,10.046,9.936
1783,0.377981,1.823497,8.96,A2,0.195,Psc,,
1784,0.378072,-21.9273,10.54,F5,0.45,Cet,,
1785,0.378262,23.909791,9.26,K0,1.25,And,,
1786,0.378382,53.605514,9.1,A0,0.076,Cas,,
1787,0.378662,-9.622799,8.19,F8,0.441,Cet,,
1788,0.378802,-46.285757,9.52,G6V,0.727,Phe,9.591,9.461
1789,0.379153,-31.70543,8.59,K2III,1.222,Scl,,
1790,0.379403,-79.312851,9.81,F0V,0.422,Hyi,9.864,9.764
1791,0.37952,-16.567699,8.2,K4III,1.499,Cet,,
1792,0.379537,-9.230857,7.94,G5,1.169,Cet,8.002,7.902
1793,0.379682,-40.288694,9.5,F8,0.491,Phe,,
1794,0.379942,54.645437,7.16,G5,0.874,Cas,,
1795,0.380006,-39.262414,6.75,F2IV,0.371,Scl,,
1796,0.380188,-9.278041,8.62,K0,1.447,Cet,,
1797,0.380393,-40.386947,9.37,F5V,0.496,Phe,,
1798,0.380478,34.709594,9.45,A0,0.17,And,,
1799,0.38052,29.45428,6.95,A3,0.212,And,6.967,6.927
1800,0.38065,-53.224039,8.34,K0IIICN...,0.973,Phe,,
1801,0.380635,-49.184768,9.22,G8IV,0.993,Phe,,
1802,0.380803,-80.409787,10.8,,0.715,Hyi,10.865,10.705
1803,0.381051,-12.209438,6.39,G3V,0.659,Cet,6.408,6.368
1804,0.381076,-37.403411,7.03,M0III,1.588,Scl,,
1805,0.381483,62.241384,8.17,B0IV,0.06,Cas,8.239,8.109
1806,0.382067,-82.683488,9.42,F0/F2IV/V,0.459,Oct,,
1807,0.382418,-52.526377,9.83,K0,0.848,Phe,9.904,9.774
1808,0.382488,-20.656578,10.38,A8/A9V,0.3,Cet,10.597,10.307
1809,0.382602,38.754287,6.69,M4III:,1.556,And,,
1810,0.382643,10.241457,9.66,K0,1.31,Psc,,
1811,0.383251,55.049244,9.74,B9,-0.018,Cas,9.804,9.684
1812,0.383337,-6.463015,7.49,K0,1.227,Cet,,
1813,0.383389,22.375001,7.57,F8,0.639,And,,
1814,0.383521,-45.486312,9.61,F7V,0.563,Phe,9.656,9.536
1816,0.383578,8.731779,9.59,F8,1.14,Psc,,
1815,0.383588,-6.370009,8.66,F8,0.481,Cet,,
1817,0.383637,-60.284043,10.11,A3m...,0.237,Tuc,,
1818,0.38421,44.52524,7.31,A2,0.087,And,,
1819,0.384252,52.172203,9.51,B5...,-0.009,Cas,,
1820,0.384442,-45.02377,9.48,F6/F7V,0.578,Phe,9.539,9.429
1821,0.384554,-15.942556,6.43,M0III,1.595,Cet,,
1822,0.384564,-14.792039,9.69,F8,0.56,Cet,,
1823,0.384673,-65.121143,7.88,F8/G0V,0.579,Tuc,,
1824,0.384818,-48.34896,8.03,G8/K0III,0.97,Phe,,
1825,0.384918,-3.603292,8.57,F5,0.529,Psc,,
1827,0.385598,-34.565166,8.75,G8IV,0.756,Scl,,
1826,0.385611,48.210191,9.29,A0,0.075,Cas,,
1828,0.38602,-50.548464,7.63,K4III,1.463,Phe,,
1829,0.38666,20.085901,8.4,F0,0.317,Psc,,
1830,0.386835,-31.035775,6.55,B9IV,-0.06,Scl,6.571,6.541
1831,0.386847,-13.168182,8.35,F3V,0.478,Cet,,
1832,0.387133,-11.29886,9.77,F5,0.576,Cet,,
1833,0.38723,43.152497,9.44,F5,0.426,And,,
1834,0.387295,55.792557,8.85,M6-M9.0e,1.282,Cas,9.98,7.96
1835,0.387374,-76.004615,9.03,K4,1.52,Hyi,,
1836,0.387573,-26.162082,10.93,F2,0.52,Scl,,
1837,0.387768,-33.167525,8.74,K3/K4V,1.075,Scl,,
1838,0.387811,-76.724252,7.99,F5V,0.475,Hyi,,
1839,0.388048,51.194559,8.56,G5,0.984,Cas,,
1840,0.388297,60.235619,7.6,A0,0.234,Cas,,
1841,0.388368,0.163704,9.91,K0,0.914,Psc,,
1842,0.388427,-50.893874,11.87,M:,1.516,Phe,11.978,11.778
1843,0.388512,-1.559554,9.99,M0,1.577,Psc,10.158,9.908
1844,0.388744,62.314053,7.82,K7V,1.376,Cas,,
1845,0.38881,9.348783,8.98,G0,0.524,Psc,,
1846,0.38898,61.215575,11.07,K7,1.312,Cas,11.125,10.995
1847,0.388944,5.925261,9.93,K0,0.478,Psc,,
1848,0.389134,27.127685,11,,,And,11.044,10.924
1849,0.389484,-29.847251,6.81,M2III,1.56,Scl,,
1850,0.389579,59.595258,8.2,K5Iab:,1.659,Cas,,
1851,0.389596,52.712441,8.29,K0,0.992,Cas,,
1852,0.390039,55.802154,8.12,B9,0.058,Cas,,
1853,0.39024,31.85153,9.05,G0,0.658,And,,
1854,0.390282,-18.89162,7.11,K0III,0.993,Cet,,
1855,0.390425,40.221989,9.92,F8,0.566,And,,
1856,0.390879,-34.91914,10.75,G0,0.655,Scl,,
1857,0.390893,-40.40653,9.99,F6/F7V,0.515,Phe,,
1858,0.39096,11.836485,7.65,K0,1.212,Psc,,
1859,0.390999,-53.839834,8.11,A2/A3V,0.144,Phe,,
1860,0.391817,77.189292,11.31,K,1.462,Cep,11.376,11.256
1861,0.392362,37.432929,8.04,F8,0.496,And,,
1862,0.392565,-54.054631,7.61,K0III,1.001,Phe,,
1863,0.392699,-32.866362,9.19,F3V,0.453,Scl,,
1864,0.393717,22.807407,9.21,K2,1.305,And,,
1865,0.393746,-14.087486,9.31,G0,0.48,Cet,,
1866,0.393845,-3.763494,10.66,,1.099,Psc,10.724,10.614
1867,0.39392,42.055986,8.11,F5,0.493,And,,
1868,0.393997,-24.648508,10.01,G0,0.582,Cet,,
1869,0.394034,2.743022,7.74,F0,0.389,Psc,,
1870,0.394173,-28.662658,8.47,K2III,1.176,Scl,,
1871,0.394239,43.647486,8.68,G5,0.709,And,,
1872,0.394362,52.01452,10.57,F2,0.401,Cas,10.637,10.517
1873,0.394405,-3.058144,7.78,G5,0.785,Psc,,
1874,0.394559,-0.541385,8.62,K0,0.947,Psc,,
1875,0.394689,-54.5387,8.08,K5III,1.438,Phe,,
1876,0.394843,-67.713795,9.15,K2/K3III,1.438,Tuc,,
1877,0.395171,-62.425067,7.59,G8IV,0.85,Tuc,,
1878,0.395303,29.401006,9.71,F8IIIvar,0.442,And,10.045,9.055
1879,0.395342,45.089136,7.61,G9III,0.975,And,,
1880,0.395469,-49.357764,7.7,M2III,1.636,Phe,7.758,7.638
1881,0.39603,-22.654704,10.78,G0,0.6,Cet,10.837,10.727
1882,0.396067,36.901202,8.7,F0,0.478,And,,
1883,0.3961,-49.939063,9.85,F6V,0.513,Phe,9.927,9.777
1884,0.396169,9.618888,8.88,F8,0.633,Psc,,
1885,0.396487,-36.861366,10.6,,1.258,Scl,10.655,10.515
1886,0.396985,0.121909,8.67,G5,0.945,Psc,,
